Canal,Trozo_5
A09,1.4698E+13
A10,1.68873E+13
A11,1.73555E+13
A12,1.73383E+13
A13,1.68376E+13
A14,1.46365E+13
B06,1.39046E+13
B07,1.7725E+13
B08,2.01725E+13
B09,2.26489E+13
B10,2.37947E+13
B11,2.40866E+13
B12,2.40571E+13
B13,2.37156E+13
B14,2.25302E+13
B15,2.00374E+13
B16,1.75787E+13
B17,1.37764E+13
C05,1.57461E+13
C06,2.13943E+13
C07,2.47802E+13
C08,2.7099E+13
C09,2.85597E+13
C10,2.91996E+13
C11,2.91695E+13
C12,2.91317E+13
C13,2.90828E+13
C14,2.839E+13
C15,2.68856E+13
C16,2.45523E+13
C17,2.11708E+13
C18,1.55717E+13
D04,1.6518E+13
D05,2.27345E+13
D06,2.67826E+13
D07,2.96193E+13
D08,3.14527E+13
D09,3.23654E+13
D10,3.25279E+13
D11,3.21478E+13
D12,3.20937E+13
D13,3.23824E+13
D14,3.21307E+13
D15,3.11687E+13
D16,2.92965E+13
D17,2.64634E+13
D18,2.24407E+13
D19,1.62969E+13
E03,1.61814E+13
E04,2.2775E+13
E05,2.73803E+13
E06,3.07075E+13
E07,3.27492E+13
E08,3.38587E+13
E09,3.39605E+13
E10,3.36473E+13
E11,3.30204E+13
E12,3.29596E+13
E13,3.34586E+13
E14,3.36742E+13
E15,3.34828E+13
E16,3.23365E+13
E17,3.02763E+13
E18,2.69782E+13
E19,2.2423E+13
E20,1.59246E+13
F03,2.05938E+13
F04,2.67929E+13
F05,3.06744E+13
F06,3.32254E+13
F07,3.4305E+13
F08,3.46135E+13
F09,3.3837E+13
F10,3.31548E+13
F11,3.24948E+13
F12,3.24091E+13
F13,3.29473E+13
F14,3.34657E+13
F15,3.41457E+13
F16,3.37688E+13
F17,3.26837E+13
F18,3.0153E+13
F19,2.63315E+13
F20,2.02257E+13
G02,1.78725E+13
G03,2.50524E+13
G04,2.98865E+13
G05,3.28453E+13
G06,3.45992E+13
G07,3.49682E+13
G08,3.48617E+13
G09,3.3939E+13
G10,3.33407E+13
G11,3.29409E+13
G12,3.28613E+13
G13,3.30587E+13
G14,3.34961E+13
G15,3.42262E+13
G16,3.42828E+13
G17,3.39128E+13
G18,3.2212E+13
G19,2.9312E+13
G20,2.45761E+13
G21,1.75251E+13
H02,2.16362E+13
H03,2.81114E+13
H04,3.22542E+13
H05,3.43312E+13
H06,3.5315E+13
H07,3.51211E+13
H08,3.48005E+13
H09,3.41277E+13
H10,3.37569E+13
H11,3.37374E+13
H12,3.36139E+13
H13,3.34351E+13
H14,3.35166E+13
H15,3.39086E+13
H16,3.41158E+13
H17,3.44502E+13
H18,3.357E+13
H19,3.15846E+13
H20,2.75408E+13
H21,2.12138E+13
J01,1.66797E+13
J02,2.49731E+13
J03,3.0488E+13
J04,3.40111E+13
J05,3.51981E+13
J06,3.54459E+13
J07,3.48356E+13
J08,3.44996E+13
J09,3.41995E+13
J10,3.41205E+13
J11,3.4432E+13
J12,3.43144E+13
J13,3.37075E+13
J14,3.34625E+13
J15,3.32518E+13
J16,3.35188E+13
J17,3.44006E+13
J18,3.43347E+13
J19,3.32491E+13
J20,2.98485E+13
J21,2.44618E+13
J22,1.63537E+13
K01,1.90341E+13
K02,2.68893E+13
K03,3.21697E+13
K04,3.52918E+13
K05,3.57423E+13
K06,3.56578E+13
K07,3.49991E+13
K08,3.45673E+13
K09,3.43475E+13
K10,3.42312E+13
K11,3.44184E+13
K12,3.42635E+13
K13,3.38004E+13
K14,3.34912E+13
K15,3.31935E+13
K16,3.35015E+13
K17,3.4534E+13
K18,3.48054E+13
K19,3.44774E+13
K20,3.14685E+13
K21,2.63367E+13
K22,1.86456E+13
L01,1.99633E+13
L02,2.79306E+13
L03,3.32229E+13
L04,3.63607E+13
L05,3.68503E+13
L06,3.66216E+13
L07,3.55494E+13
L08,3.49289E+13
L09,3.45856E+13
L10,3.44164E+13
L11,3.449E+13
L12,3.4351E+13
L13,3.39387E+13
L14,3.37186E+13
L15,3.34684E+13
L16,3.40138E+13
L17,3.54232E+13
L18,3.58949E+13
L19,3.55111E+13
L20,3.25032E+13
L21,2.7342E+13
L22,1.95602E+13
M01,2.00721E+13
M02,2.81156E+13
M03,3.35616E+13
M04,3.69019E+13
M05,3.76459E+13
M06,3.74255E+13
M07,3.61874E+13
M08,3.5376E+13
M09,3.49551E+13
M10,3.46928E+13
M11,3.47597E+13
M12,3.46007E+13
M13,3.42489E+13
M14,3.40706E+13
M15,3.39538E+13
M16,3.4633E+13
M17,3.6254E+13
M18,3.6667E+13
M19,3.60584E+13
M20,3.28337E+13
M21,2.75374E+13
M22,1.96588E+13
N01,1.93034E+13
N02,2.73934E+13
N03,3.30466E+13
N04,3.67754E+13
N05,3.80732E+13
N06,3.81248E+13
N07,3.6774E+13
N08,3.59124E+13
N09,3.53607E+13
N10,3.50855E+13
N11,3.51441E+13
N12,3.50178E+13
N13,3.46471E+13
N14,3.45688E+13
N15,3.45611E+13
N16,3.53466E+13
N17,3.69995E+13
N18,3.71652E+13
N19,3.59663E+13
N20,3.23599E+13
N21,2.68307E+13
N22,1.89179E+13
O01,1.70148E+13
O02,2.55874E+13
O03,3.15661E+13
O04,3.57852E+13
O05,3.79872E+13
O06,3.84511E+13
O07,3.73443E+13
O08,3.65309E+13
O09,3.57981E+13
O10,3.54313E+13
O11,3.55523E+13
O12,3.54194E+13
O13,3.50796E+13
O14,3.51105E+13
O15,3.54627E+13
O16,3.61525E+13
O17,3.74944E+13
O18,3.71491E+13
O19,3.50514E+13
O20,3.09303E+13
O21,2.50855E+13
O22,1.66726E+13
P02,2.21543E+13
P03,2.89761E+13
P04,3.3611E+13
P05,3.63089E+13
P06,3.76209E+13
P07,3.74483E+13
P08,3.70412E+13
P09,3.60587E+13
P10,3.55812E+13
P11,3.53955E+13
P12,3.53098E+13
P13,3.52737E+13
P14,3.55657E+13
P15,3.63136E+13
P16,3.66584E+13
P17,3.68481E+13
P18,3.56012E+13
P19,3.29656E+13
P20,2.8431E+13
P21,2.17301E+13
Q02,1.81518E+13
Q03,2.54757E+13
Q04,3.04571E+13
Q05,3.36127E+13
Q06,3.57257E+13
Q07,3.65976E+13
Q08,3.68197E+13
Q09,3.61241E+13
Q10,3.5686E+13
Q11,3.54604E+13
Q12,3.53676E+13
Q13,3.54644E+13
Q14,3.5727E+13
Q15,3.63153E+13
Q16,3.5991E+13
Q17,3.51156E+13
Q18,3.30256E+13
Q19,2.99246E+13
Q20,2.50232E+13
Q21,1.78331E+13
R03,2.05067E+13
R04,2.6562E+13
R05,3.02909E+13
R06,3.32545E+13
R07,3.5311E+13
R08,3.63921E+13
R09,3.62434E+13
R10,3.60471E+13
R11,3.57625E+13
R12,3.57077E+13
R13,3.58421E+13
R14,3.59495E+13
R15,3.59848E+13
R16,3.48479E+13
R17,3.27645E+13
R18,2.98191E+13
R19,2.61285E+13
R20,2.01695E+13
S03,1.5726E+13
S04,2.19684E+13
S05,2.63135E+13
S06,2.99964E+13
S07,3.30471E+13
S08,3.49815E+13
S09,3.58502E+13
S10,3.59875E+13
S11,3.5602E+13
S12,3.5542E+13
S13,3.58253E+13
S14,3.55872E+13
S15,3.4656E+13
S16,3.26665E+13
S17,2.96082E+13
S18,2.59361E+13
S19,2.16332E+13
S20,1.54726E+13
T04,1.54864E+13
T05,2.14285E+13
T06,2.56733E+13
T07,2.90495E+13
T08,3.14436E+13
T09,3.28268E+13
T10,3.32968E+13
T11,3.30271E+13
T12,3.29811E+13
T13,3.31538E+13
T14,3.2618E+13
T15,3.11739E+13
T16,2.87541E+13
T17,2.53648E+13
T18,2.11417E+13
T19,1.52561E+13
U05,1.42632E+13
U06,1.97633E+13
U07,2.33794E+13
U08,2.59722E+13
U09,2.7669E+13
U10,2.84357E+13
U11,2.84186E+13
U12,2.83786E+13
U13,2.83273E+13
U14,2.74988E+13
U15,2.57699E+13
U16,2.31534E+13
U17,1.95421E+13
U18,1.40778E+13
V06,1.19134E+13
V07,1.57236E+13
V08,1.82192E+13
V09,2.05747E+13
V10,2.17128E+13
V11,2.19899E+13
V12,2.19604E+13
V13,2.16255E+13
V14,2.04522E+13
V15,1.80772E+13
V16,1.5579E+13
V17,1.17837E+13
W09,1.18543E+13
W10,1.37801E+13
W11,1.41511E+13
W12,1.41253E+13
W13,1.37189E+13
W14,1.17775E+13
