Canal,Trozo_11
Q15,1.55201E+13
Q16,1.50424E+13
Q17,1.38712E+13
Q18,1.25559E+13
Q19,1.06634E+13
Q20,8.35023E+12
Q21,5.2377E+12
R03,6.49463E+12
R04,9.13036E+12
R05,1.11736E+13
R06,1.27028E+13
R07,1.40851E+13
R08,1.48763E+13
R09,1.55236E+13
R10,1.54835E+13
R11,1.57837E+13
R12,1.5514E+13
R13,1.56556E+13
R14,1.514E+13
R15,1.48404E+13
R16,1.38402E+13
R17,1.26641E+13
R18,1.09778E+13
R19,9.06376E+12
R20,6.3506E+12
S03,4.45779E+12
S04,7.16722E+12
S05,9.25847E+12
S06,1.10994E+13
S07,1.24695E+13
S08,1.36376E+13
S09,1.41723E+13
S10,1.45895E+13
S11,1.45506E+13
S12,1.46463E+13
S13,1.44172E+13
S14,1.41934E+13
S15,1.3418E+13
S16,1.24622E+13
S17,1.0937E+13
S18,9.23589E+12
S19,7.0733E+12
S20,4.43204E+12
T04,4.55808E+12
T05,7.08011E+12
T06,8.95331E+12
T07,1.05634E+13
T08,1.16425E+13
T09,1.24873E+13
T10,1.27718E+13
T11,1.29841E+13
T12,1.28762E+13
T13,1.28331E+13
T14,1.23344E+13
T15,1.16642E+13
T16,1.04286E+13
T17,8.96089E+12
T18,7.017E+12
T19,4.57386E+12
U05,4.21536E+12
U06,6.46298E+12
U07,8.02896E+12
U08,9.29065E+12
U09,1.00561E+13
U10,1.05818E+13
U11,1.06798E+13
U12,1.07412E+13
U13,1.04944E+13
U14,1.0098E+13
U15,9.20147E+12
U16,8.04981E+12
U17,6.41868E+12
U18,4.24372E+12
V06,3.39889E+12
V07,4.98383E+12
V08,6.12112E+12
V09,7.19653E+12
V10,7.71087E+12
V11,7.9684E+12
V12,7.92362E+12
V13,7.75147E+12
V14,7.16108E+12
V15,6.15828E+12
V16,4.961E+12
V17,3.40852E+12
W09,3.79209E+12
W10,4.58356E+12
W11,4.79197E+12
W12,4.82015E+12
W13,4.5696E+12
W14,3.84018E+12
