Canal,Trozo_2
A09,4.14253E+12
A10,5.00613E+12
A11,5.2555E+12
A12,5.27139E+12
A13,4.99303E+12
A14,4.1665E+12
B06,3.68522E+12
B07,5.34681E+12
B08,6.49799E+12
B09,7.58933E+12
B10,8.12055E+12
B11,8.38059E+12
B12,8.33454E+12
B13,8.145E+12
B14,7.53808E+12
B15,6.50819E+12
B16,5.30519E+12
B17,3.66996E+12
C05,4.51997E+12
C06,6.85974E+12
C07,8.43019E+12
C08,9.64974E+12
C09,1.03638E+13
C10,1.08534E+13
C11,1.09315E+13
C12,1.09884E+13
C13,1.0747E+13
C14,1.03791E+13
C15,9.52577E+12
C16,8.41562E+12
C17,6.78335E+12
C18,4.5194E+12
D04,4.83299E+12
D05,7.47107E+12
D06,9.35262E+12
D07,1.08939E+13
D08,1.186E+13
D09,1.26017E+13
D10,1.27995E+13
D11,1.29694E+13
D12,1.28492E+13
D13,1.28408E+13
D14,1.24074E+13
D15,1.18396E+13
D16,1.07048E+13
D17,9.31449E+12
D18,7.36558E+12
D19,4.81954E+12
E03,4.62832E+12
E04,7.46413E+12
E05,9.62409E+12
E06,1.1437E+13
E07,1.26667E+13
E08,1.36818E+13
E09,1.4058E+13
E10,1.43657E+13
E11,1.42451E+13
E12,1.43386E+13
E13,1.41537E+13
E14,1.40408E+13
E15,1.33947E+13
E16,1.26011E+13
E17,1.12019E+13
E18,9.54992E+12
E19,7.32337E+12
E20,4.575E+12
F03,6.61467E+12
F04,9.31952E+12
F05,1.14011E+13
F06,1.28651E+13
F07,1.41124E+13
F08,1.47341E+13
F09,1.52365E+13
F10,1.50633E+13
F11,1.5276E+13
F12,1.49928E+13
F13,1.52011E+13
F14,1.47863E+13
F15,1.46294E+13
F16,1.37763E+13
F17,1.27518E+13
F18,1.11241E+13
F19,9.19535E+12
F20,6.42812E+12
G02,5.38294E+12
G03,8.44665E+12
G04,1.08977E+13
G05,1.26213E+13
G06,1.40487E+13
G07,1.47887E+13
G08,1.56426E+13
G09,1.56805E+13
G10,1.60211E+13
G11,1.57207E+13
G12,1.59458E+13
G13,1.56269E+13
G14,1.5742E+13
G15,1.51416E+13
G16,1.47627E+13
G17,1.3687E+13
G18,1.24483E+13
G19,1.05924E+13
G20,8.30166E+12
G21,5.20558E+12
H02,6.856E+12
H03,9.86858E+12
H04,1.20187E+13
H05,1.37237E+13
H06,1.47741E+13
H07,1.57091E+13
H08,1.59584E+13
H09,1.6493E+13
H10,1.62706E+13
H11,1.65236E+13
H12,1.61956E+13
H13,1.64177E+13
H14,1.59849E+13
H15,1.59351E+13
H16,1.51181E+13
H17,1.45181E+13
H18,1.32879E+13
H19,1.18128E+13
H20,9.5756E+12
H21,6.76865E+12
J01,4.61339E+12
J02,8.23961E+12
J03,1.08623E+13
J04,1.30288E+13
J05,1.43714E+13
J06,1.54843E+13
J07,1.59278E+13
J08,1.66598E+13
J09,1.65863E+13
J10,1.69219E+13
J11,1.6586E+13
J12,1.68157E+13
J13,1.6476E+13
J14,1.66424E+13
J15,1.60524E+13
J16,1.58202E+13
J17,1.48487E+13
J18,1.40747E+13
J19,1.26056E+13
J20,1.06859E+13
J21,7.99502E+12
J22,4.56337E+12
K01,5.56404E+12
K02,8.9788E+12
K03,1.16993E+13
K04,1.35987E+13
K05,1.50338E+13
K06,1.56949E+13
K07,1.65832E+13
K08,1.66872E+13
K09,1.71629E+13
K10,1.68511E+13
K11,1.70533E+13
K12,1.67202E+13
K13,1.69929E+13
K14,1.6604E+13
K15,1.66617E+13
K16,1.59263E+13
K17,1.55266E+13
K18,1.44175E+13
K19,1.33365E+13
K20,1.13324E+13
K21,8.86027E+12
K22,5.40855E+12
L01,5.91653E+12
L02,9.49665E+12
L03,1.20399E+13
L04,1.41071E+13
L05,1.52004E+13
L06,1.62975E+13
L07,1.66016E+13
L08,1.72381E+13
L09,1.70513E+13
L10,1.73126E+13
L11,1.69066E+13
L12,1.71325E+13
L13,1.68516E+13
L14,1.71093E+13
L15,1.66007E+13
L16,1.65217E+13
L17,1.56747E+13
L18,1.50723E+13
L19,1.3692E+13
L20,1.18611E+13
L21,9.19972E+12
L22,5.83652E+12
M01,5.99695E+12
M02,9.46493E+12
M03,1.22281E+13
M04,1.41491E+13
M05,1.56045E+13
M06,1.62271E+13
M07,1.70531E+13
M08,1.70671E+13
M09,1.74887E+13
M10,1.71253E+13
M11,1.73016E+13
M12,1.69676E+13
M13,1.72769E+13
M14,1.69335E+13
M15,1.7069E+13
M16,1.64157E+13
M17,1.61257E+13
M18,1.50323E+13
M19,1.39296E+13
M20,1.18653E+13
M21,9.34452E+12
M22,5.81609E+12
N01,5.605E+12
N02,9.20887E+12
N03,1.18374E+13
N04,1.40111E+13
N05,1.52261E+13
N06,1.63942E+13
N07,1.67314E+13
N08,1.73758E+13
N09,1.72027E+13
N10,1.74867E+13
N11,1.70997E+13
N12,1.73375E+13
N13,1.70418E+13
N14,1.72929E+13
N15,1.67878E+13
N16,1.67114E+13
N17,1.586E+13
N18,1.51854E+13
N19,1.36627E+13
N20,1.16906E+13
N21,8.92972E+12
N22,5.51913E+12
O01,4.75207E+12
O02,8.35262E+12
O03,1.12255E+13
O04,1.33281E+13
O05,1.49674E+13
O06,1.57988E+13
O07,1.674E+13
O08,1.68916E+13
O09,1.73921E+13
O10,1.71244E+13
O11,1.73818E+13
O12,1.70478E+13
O13,1.73057E+13
O14,1.68984E+13
O15,1.69448E+13
O16,1.62219E+13
O17,1.58057E+13
O18,1.46465E+13
O19,1.3196E+13
O20,1.09295E+13
O21,8.24536E+12
O22,4.60189E+12
P02,7.0607E+12
P03,1.00229E+13
P04,1.24123E+13
P05,1.40179E+13
P06,1.53305E+13
P07,1.59516E+13
P08,1.67578E+13
P09,1.67704E+13
P10,1.71652E+13
P11,1.68726E+13
P12,1.71315E+13
P13,1.67721E+13
P14,1.69055E+13
P15,1.62976E+13
P16,1.59952E+13
P17,1.50219E+13
P18,1.39112E+13
P19,1.21254E+13
P20,9.91116E+12
P21,6.86046E+12
Q02,5.39042E+12
Q03,8.58717E+12
Q04,1.09583E+13
Q05,1.28857E+13
Q06,1.42136E+13
Q07,1.53798E+13
Q08,1.58312E+13
Q09,1.64781E+13
Q10,1.63755E+13
Q11,1.66847E+13
Q12,1.63827E+13
Q13,1.65713E+13
Q14,1.60937E+13
Q15,1.59201E+13
