Canal,Trozo_2
Q16,1.49425E+13
Q17,1.40889E+13
Q18,1.25998E+13
Q19,1.08502E+13
Q20,8.40311E+12
Q21,5.35473E+12
R03,6.54173E+12
R04,9.32314E+12
R05,1.12719E+13
R06,1.29715E+13
R07,1.4142E+13
R08,1.51218E+13
R09,1.53852E+13
R10,1.58598E+13
R11,1.56715E+13
R12,1.58967E+13
R13,1.55566E+13
R14,1.55622E+13
R15,1.48911E+13
R16,1.40836E+13
R17,1.26957E+13
R18,1.11648E+13
R19,9.12408E+12
R20,6.48793E+12
S03,4.57713E+12
S04,7.2931E+12
S05,9.49276E+12
S06,1.12061E+13
S07,1.27273E+13
S08,1.36645E+13
S09,1.4412E+13
S10,1.45997E+13
S11,1.47906E+13
S12,1.46575E+13
S13,1.46634E+13
S14,1.42204E+13
S15,1.3667E+13
S16,1.24909E+13
S17,1.11197E+13
S18,9.28402E+12
S19,7.19247E+12
S20,4.47625E+12
T04,4.73045E+12
T05,7.22791E+12
T06,9.18567E+12
T07,1.06501E+13
T08,1.18719E+13
T09,1.2519E+13
T10,1.29897E+13
T11,1.30017E+13
T12,1.30801E+13
T13,1.28423E+13
T14,1.25378E+13
T15,1.16815E+13
T16,1.05985E+13
T17,8.99431E+12
T18,7.12743E+12
T19,4.60367E+12
U05,4.37695E+12
U06,6.58434E+12
U07,8.21886E+12
U08,9.3626E+12
U09,1.02444E+13
U10,1.06201E+13
U11,1.08442E+13
U12,1.07606E+13
U13,1.06434E+13
U14,1.01038E+13
U15,9.32994E+12
U16,8.06809E+12
U17,6.50677E+12
U18,4.26242E+12
V06,3.49472E+12
V07,5.06425E+12
V08,6.26366E+12
V09,7.26358E+12
V10,7.84307E+12
V11,8.00023E+12
V12,8.02988E+12
V13,7.75911E+12
V14,7.23419E+12
V15,6.15163E+12
V16,5.01177E+12
V17,3.42595E+12
W09,3.89435E+12
W10,4.62423E+12
W11,4.86765E+12
W12,4.83117E+12
W13,4.61488E+12
W14,3.81557E+12
