Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
P21,3.02E+12,7.60E+12,1.31E+13,1.80E+13,2.14E+13,2.30E+13,2.29E+13,2.13E+13,1.79E+13,1.31E+13,7.61E+12,3.02E+12
Q02,2.36E+12,5.97E+12,1.06E+13,1.48E+13,1.79E+13,1.92E+13,1.91E+13,1.77E+13,1.47E+13,1.05E+13,5.96E+12,2.36E+12
Q03,3.85E+12,9.51E+12,1.56E+13,2.09E+13,2.51E+13,2.71E+13,2.69E+13,2.49E+13,2.07E+13,1.54E+13,9.35E+12,3.78E+12
Q04,5.00E+12,1.21E+13,1.89E+13,2.45E+13,3.00E+13,3.26E+13,3.24E+13,2.97E+13,2.43E+13,1.88E+13,1.21E+13,4.96E+12
Q05,5.94E+12,1.43E+13,2.09E+13,2.48E+13,3.31E+13,3.63E+13,3.61E+13,3.28E+13,2.45E+13,2.05E+13,1.40E+13,5.85E+12
Q06,6.61E+12,1.57E+13,2.29E+13,2.70E+13,3.52E+13,3.84E+13,3.82E+13,3.48E+13,2.67E+13,2.28E+13,1.57E+13,6.55E+12
Q07,7.13E+12,1.70E+13,2.55E+13,3.13E+13,3.60E+13,3.87E+13,3.85E+13,3.56E+13,3.09E+13,2.50E+13,1.66E+13,6.94E+12
Q08,7.35E+12,1.75E+13,2.66E+13,3.28E+13,3.62E+13,3.85E+13,3.82E+13,3.59E+13,3.25E+13,2.67E+13,1.76E+13,7.38E+12
Q09,7.65E+12,1.83E+13,2.75E+13,3.31E+13,3.56E+13,3.77E+13,3.74E+13,3.52E+13,3.27E+13,2.70E+13,1.78E+13,7.47E+12
Q10,7.65E+12,1.81E+13,2.72E+13,3.28E+13,3.51E+13,3.72E+13,3.70E+13,3.49E+13,3.26E+13,2.73E+13,1.83E+13,7.69E+12
Q11,7.80E+12,1.85E+13,2.75E+13,3.30E+13,3.49E+13,3.70E+13,3.69E+13,3.47E+13,3.27E+13,2.70E+13,1.80E+13,7.62E+12
Q12,7.68E+12,1.81E+13,2.71E+13,3.28E+13,3.48E+13,3.70E+13,3.68E+13,3.46E+13,3.28E+13,2.72E+13,1.83E+13,7.71E+12
Q13,7.72E+12,1.84E+13,2.74E+13,3.27E+13,3.49E+13,3.70E+13,3.69E+13,3.47E+13,3.24E+13,2.69E+13,1.79E+13,7.54E+12
Q14,7.49E+12,1.78E+13,2.69E+13,3.27E+13,3.52E+13,3.73E+13,3.71E+13,3.50E+13,3.26E+13,2.70E+13,1.80E+13,7.52E+12
Q15,7.38E+12,1.76E+13,2.66E+13,3.24E+13,3.57E+13,3.80E+13,3.78E+13,3.55E+13,3.21E+13,2.61E+13,1.72E+13,7.20E+12
Q16,6.94E+12,1.66E+13,2.49E+13,3.07E+13,3.54E+13,3.81E+13,3.80E+13,3.52E+13,3.06E+13,2.50E+13,1.67E+13,6.97E+12
Q17,6.53E+12,1.56E+13,2.26E+13,2.66E+13,3.46E+13,3.78E+13,3.76E+13,3.44E+13,2.64E+13,2.24E+13,1.54E+13,6.45E+12
Q18,5.84E+12,1.40E+13,2.04E+13,2.43E+13,3.25E+13,3.57E+13,3.56E+13,3.23E+13,2.42E+13,2.04E+13,1.39E+13,5.79E+12
Q19,4.94E+12,1.20E+13,1.87E+13,2.41E+13,2.95E+13,3.20E+13,3.19E+13,2.93E+13,2.39E+13,1.84E+13,1.18E+13,4.87E+12
Q20,3.77E+12,9.31E+12,1.53E+13,2.05E+13,2.46E+13,2.66E+13,2.65E+13,2.45E+13,2.04E+13,1.52E+13,9.25E+12,3.74E+12
Q21,2.35E+12,5.93E+12,1.04E+13,1.46E+13,1.76E+13,1.89E+13,1.88E+13,1.74E+13,1.45E+13,1.03E+13,5.80E+12,2.29E+12
R03,2.92E+12,7.25E+12,1.21E+13,1.66E+13,2.02E+13,2.19E+13,2.17E+13,2.00E+13,1.64E+13,1.20E+13,7.19E+12,2.90E+12
