Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
B13,3.65E+12,9.02E+12,1.47E+13,1.95E+13,2.33E+13,2.53E+13,2.53E+13,2.34E+13,1.95E+13,1.47E+13,8.94E+12,3.62E+12
B14,3.36E+12,8.35E+12,1.40E+13,1.88E+13,2.22E+13,2.39E+13,2.39E+13,2.22E+13,1.88E+13,1.40E+13,8.34E+12,3.35E+12
B15,2.87E+12,7.21E+12,1.23E+13,1.67E+13,1.97E+13,2.12E+13,2.12E+13,1.97E+13,1.67E+13,1.23E+13,7.13E+12,2.84E+12
B16,2.32E+12,5.88E+12,1.05E+13,1.46E+13,1.73E+13,1.86E+13,1.86E+13,1.73E+13,1.45E+13,1.04E+13,5.86E+12,2.31E+12
B17,1.59E+12,4.07E+12,7.71E+12,1.12E+13,1.36E+13,1.47E+13,1.47E+13,1.36E+13,1.12E+13,7.66E+12,4.03E+12,1.57E+12
C05,1.97E+12,5.01E+12,9.03E+12,1.29E+13,1.55E+13,1.68E+13,1.68E+13,1.55E+13,1.29E+13,9.06E+12,5.04E+12,1.99E+12
C06,3.02E+12,7.60E+12,1.30E+13,1.78E+13,2.11E+13,2.27E+13,2.27E+13,2.11E+13,1.78E+13,1.30E+13,7.57E+12,3.02E+12
C07,3.76E+12,9.34E+12,1.56E+13,2.08E+13,2.44E+13,2.62E+13,2.62E+13,2.44E+13,2.08E+13,1.56E+13,9.38E+12,3.77E+12
C08,4.32E+12,1.07E+13,1.75E+13,2.29E+13,2.67E+13,2.86E+13,2.86E+13,2.67E+13,2.29E+13,1.74E+13,1.06E+13,4.29E+12
C09,4.69E+12,1.15E+13,1.85E+13,2.41E+13,2.81E+13,3.02E+13,3.02E+13,2.81E+13,2.41E+13,1.85E+13,1.15E+13,4.70E+12
C10,4.94E+12,1.20E+13,1.88E+13,2.41E+13,2.87E+13,3.11E+13,3.11E+13,2.87E+13,2.41E+13,1.87E+13,1.19E+13,4.90E+12
C11,5.02E+12,1.21E+13,1.83E+13,2.26E+13,2.87E+13,3.15E+13,3.15E+13,2.87E+13,2.26E+13,1.84E+13,1.22E+13,5.03E+12
C12,5.03E+12,1.22E+13,1.84E+13,2.25E+13,2.87E+13,3.15E+13,3.15E+13,2.87E+13,2.25E+13,1.83E+13,1.21E+13,5.00E+12
C13,4.90E+12,1.19E+13,1.87E+13,2.40E+13,2.86E+13,3.10E+13,3.10E+13,2.86E+13,2.40E+13,1.87E+13,1.20E+13,4.91E+12
C14,4.69E+12,1.15E+13,1.84E+13,2.39E+13,2.79E+13,3.00E+13,3.01E+13,2.80E+13,2.39E+13,1.83E+13,1.14E+13,4.65E+12
C15,4.28E+12,1.06E+13,1.73E+13,2.27E+13,2.65E+13,2.84E+13,2.84E+13,2.65E+13,2.27E+13,1.73E+13,1.06E+13,4.28E+12
C16,3.75E+12,9.32E+12,1.55E+13,2.06E+13,2.42E+13,2.59E+13,2.59E+13,2.42E+13,2.06E+13,1.54E+13,9.23E+12,3.71E+12
C17,3.00E+12,7.51E+12,1.29E+13,1.76E+13,2.08E+13,2.24E+13,2.25E+13,2.08E+13,1.76E+13,1.29E+13,7.50E+12,2.98E+12
C18,1.97E+12,5.01E+12,8.98E+12,1.28E+13,1.53E+13,1.66E+13,1.66E+13,1.53E+13,1.28E+13,8.90E+12,4.93E+12,1.94E+12
D04,2.12E+12,5.35E+12,9.52E+12,1.35E+13,1.63E+13,1.76E+13,1.76E+13,1.63E+13,1.35E+13,9.55E+12,5.39E+12,2.13E+12
D05,3.32E+12,8.28E+12,1.39E+13,1.89E+13,2.24E+13,2.41E+13,2.41E+13,2.24E+13,1.89E+13,1.39E+13,8.23E+12,3.31E+12
D06,4.20E+12,1.04E+13,1.70E+13,2.25E+13,2.64E+13,2.83E+13,2.83E+13,2.64E+13,2.25E+13,1.70E+13,1.04E+13,4.21E+12
D07,4.91E+12,1.21E+13,1.94E+13,2.52E+13,2.92E+13,3.12E+13,3.12E+13,2.91E+13,2.51E+13,1.92E+13,1.19E+13,4.87E+12
D08,5.39E+12,1.31E+13,2.09E+13,2.69E+13,3.10E+13,3.31E+13,3.31E+13,3.10E+13,2.69E+13,2.09E+13,1.32E+13,5.39E+12
D09,5.75E+12,1.40E+13,2.18E+13,2.77E+13,3.19E+13,3.41E+13,3.41E+13,3.18E+13,2.76E+13,2.16E+13,1.38E+13,5.69E+12
D10,5.90E+12,1.42E+13,2.16E+13,2.71E+13,3.20E+13,3.46E+13,3.47E+13,3.20E+13,2.71E+13,2.17E+13,1.42E+13,5.91E+12
D11,6.01E+12,1.44E+13,2.09E+13,2.44E+13,3.16E+13,3.48E+13,3.48E+13,3.17E+13,2.43E+13,2.07E+13,1.42E+13,5.97E+12
D12,5.98E+12,1.42E+13,2.07E+13,2.43E+13,3.16E+13,3.47E+13,3.48E+13,3.16E+13,2.43E+13,2.08E+13,1.43E+13,5.99E+12
D13,5.91E+12,1.42E+13,2.16E+13,2.70E+13,3.19E+13,3.45E+13,3.45E+13,3.19E+13,2.70E+13,2.15E+13,1.41E+13,5.87E+12
D14,5.68E+12,1.37E+13,2.15E+13,2.74E+13,3.16E+13,3.39E+13,3.40E+13,3.17E+13,2.75E+13,2.16E+13,1.38E+13,5.70E+12
D15,5.37E+12,1.31E+13,2.08E+13,2.67E+13,3.07E+13,3.28E+13,3.28E+13,3.07E+13,2.67E+13,2.07E+13,1.30E+13,5.33E+12
D16,4.84E+12,1.19E+13,1.91E+13,2.49E+13,2.88E+13,3.09E+13,3.09E+13,2.89E+13,2.49E+13,1.92E+13,1.19E+13,4.85E+12
D17,4.18E+12,1.03E+13,1.68E+13,2.23E+13,2.61E+13,2.80E+13,2.80E+13,2.61E+13,2.22E+13,1.67E+13,1.02E+13,4.14E+12
D18,3.28E+12,8.16E+12,1.37E+13,1.87E+13,2.21E+13,2.38E+13,2.38E+13,2.21E+13,1.87E+13,1.37E+13,8.15E+12,3.26E+12
D19,2.11E+12,5.34E+12,9.44E+12,1.33E+13,1.60E+13,1.73E+13,1.73E+13,1.61E+13,1.33E+13,9.36E+12,5.26E+12,2.08E+12
E03,2.02E+12,5.13E+12,9.25E+12,1.32E+13,1.59E+13,1.72E+13,1.72E+13,1.60E+13,1.32E+13,9.23E+12,5.12E+12,2.02E+12
E04,3.32E+12,8.27E+12,1.39E+13,1.88E+13,2.24E+13,2.42E+13,2.42E+13,2.24E+13,1.87E+13,1.38E+13,8.20E+12,3.29E+12
E05,4.34E+12,1.07E+13,1.72E+13,2.29E+13,2.70E+13,2.90E+13,2.91E+13,2.70E+13,2.28E+13,1.73E+13,1.07E+13,4.34E+12
E06,5.19E+12,1.27E+13,2.00E+13,2.60E+13,3.02E+13,3.24E+13,3.25E+13,3.02E+13,2.59E+13,1.99E+13,1.25E+13,5.13E+12
E07,5.78E+12,1.40E+13,2.20E+13,2.81E+13,3.22E+13,3.44E+13,3.45E+13,3.22E+13,2.81E+13,2.21E+13,1.41E+13,5.78E+12
E08,6.26E+12,1.52E+13,2.35E+13,2.95E+13,3.33E+13,3.55E+13,3.55E+13,3.33E+13,2.94E+13,2.33E+13,1.49E+13,6.17E+12
E09,6.49E+12,1.56E+13,2.39E+13,2.97E+13,3.34E+13,3.57E+13,3.58E+13,3.34E+13,2.97E+13,2.39E+13,1.56E+13,6.48E+12
E10,6.67E+12,1.59E+13,2.37E+13,2.89E+13,3.31E+13,3.57E+13,3.58E+13,3.31E+13,2.88E+13,2.35E+13,1.57E+13,6.59E+12
E11,6.69E+12,1.58E+13,2.25E+13,2.56E+13,3.25E+13,3.56E+13,3.57E+13,3.25E+13,2.56E+13,2.26E+13,1.59E+13,6.69E+12
E12,6.70E+12,1.59E+13,2.26E+13,2.56E+13,3.24E+13,3.56E+13,3.56E+13,3.25E+13,2.56E+13,2.24E+13,1.57E+13,6.65E+12
E13,6.59E+12,1.57E+13,2.34E+13,2.87E+13,3.29E+13,3.56E+13,3.56E+13,3.30E+13,2.87E+13,2.36E+13,1.58E+13,6.62E+12
E14,6.46E+12,1.56E+13,2.38E+13,2.95E+13,3.31E+13,3.54E+13,3.55E+13,3.32E+13,2.95E+13,2.37E+13,1.54E+13,6.42E+12
E15,6.14E+12,1.48E+13,2.31E+13,2.92E+13,3.30E+13,3.51E+13,3.52E+13,3.30E+13,2.92E+13,2.33E+13,1.50E+13,6.19E+12
E16,5.74E+12,1.40E+13,2.19E+13,2.78E+13,3.18E+13,3.40E+13,3.41E+13,3.19E+13,2.78E+13,2.18E+13,1.38E+13,5.70E+12
E17,5.09E+12,1.24E+13,1.97E+13,2.56E+13,2.98E+13,3.20E+13,3.21E+13,2.99E+13,2.56E+13,1.98E+13,1.25E+13,5.11E+12
E18,4.30E+12,1.06E+13,1.71E+13,2.25E+13,2.66E+13,2.86E+13,2.87E+13,2.66E+13,2.25E+13,1.70E+13,1.05E+13,4.27E+12
E19,3.26E+12,8.11E+12,1.36E+13,1.85E+13,2.21E+13,2.38E+13,2.39E+13,2.21E+13,1.85E+13,1.36E+13,8.12E+12,3.26E+12
E20,2.00E+12,5.07E+12,9.12E+12,1.30E+13,1.57E+13,1.69E+13,1.70E+13,1.57E+13,1.30E+13,9.08E+12,5.03E+12,1.98E+12
F03,2.93E+12,7.33E+12,1.24E+13,1.70E+13,2.03E+13,2.18E+13,2.19E+13,2.03E+13,1.69E+13,1.23E+13,7.20E+12,2.88E+12
F04,4.21E+12,1.03E+13,1.67E+13,2.21E+13,2.64E+13,2.84E+13,2.85E+13,2.64E+13,2.20E+13,1.66E+13,1.03E+13,4.18E+12
F05,5.20E+12,1.26E+13,1.97E+13,2.54E+13,3.02E+13,3.26E+13,3.27E+13,3.02E+13,2.53E+13,1.95E+13,1.24E+13,5.13E+12
F06,5.92E+12,1.43E+13,2.19E+13,2.79E+13,3.27E+13,3.52E+13,3.52E+13,3.27E+13,2.78E+13,2.19E+13,1.43E+13,5.90E+12
F07,6.49E+12,1.56E+13,2.39E+13,2.98E+13,3.38E+13,3.61E+13,3.61E+13,3.37E+13,2.97E+13,2.36E+13,1.54E+13,6.40E+12
F08,6.82E+12,1.63E+13,2.49E+13,3.08E+13,3.41E+13,3.62E+13,3.62E+13,3.40E+13,3.07E+13,2.49E+13,1.63E+13,6.78E+12
F09,7.07E+12,1.69E+13,2.54E+13,3.07E+13,3.33E+13,3.55E+13,3.55E+13,3.33E+13,3.04E+13,2.49E+13,1.64E+13,6.89E+12
F10,7.05E+12,1.67E+13,2.47E+13,2.95E+13,3.26E+13,3.50E+13,3.51E+13,3.27E+13,2.96E+13,2.48E+13,1.69E+13,7.10E+12
F11,7.18E+12,1.69E+13,2.40E+13,2.66E+13,3.20E+13,3.48E+13,3.49E+13,3.20E+13,2.65E+13,2.36E+13,1.66E+13,7.06E+12
F12,7.07E+12,1.66E+13,2.36E+13,2.65E+13,3.19E+13,3.47E+13,3.48E+13,3.20E+13,2.66E+13,2.38E+13,1.68E+13,7.14E+12
F13,7.10E+12,1.68E+13,2.48E+13,2.94E+13,3.24E+13,3.48E+13,3.49E+13,3.25E+13,2.93E+13,2.45E+13,1.65E+13,6.99E+12
F14,6.87E+12,1.64E+13,2.48E+13,3.02E+13,3.29E+13,3.51E+13,3.53E+13,3.31E+13,3.04E+13,2.51E+13,1.67E+13,6.99E+12
F15,6.75E+12,1.62E+13,2.47E+13,3.04E+13,3.36E+13,3.58E+13,3.59E+13,3.37E+13,3.04E+13,2.46E+13,1.61E+13,6.72E+12
F16,6.35E+12,1.53E+13,2.34E+13,2.93E+13,3.32E+13,3.56E+13,3.57E+13,3.34E+13,2.94E+13,2.36E+13,1.54E+13,6.39E+12
F17,5.85E+12,1.41E+13,2.17E+13,2.75E+13,3.22E+13,3.46E+13,3.48E+13,3.23E+13,2.75E+13,2.16E+13,1.40E+13,5.81E+12
F18,5.08E+12,1.23E+13,1.92E+13,2.49E+13,2.97E+13,3.21E+13,3.22E+13,2.98E+13,2.50E+13,1.93E+13,1.24E+13,5.10E+12
F19,4.14E+12,1.02E+13,1.64E+13,2.17E+13,2.59E+13,2.80E+13,2.81E+13,2.60E+13,2.17E+13,1.64E+13,1.01E+13,4.12E+12
F20,2.85E+12,7.12E+12,1.21E+13,1.66E+13,1.99E+13,2.15E+13,2.15E+13,2.00E+13,1.67E+13,1.22E+13,7.18E+12,2.88E+12
G02,2.36E+12,5.96E+12,1.05E+13,1.47E+13,1.76E+13,1.89E+13,1.90E+13,1.76E+13,1.46E+13,1.04E+13,5.84E+12,2.30E+12
G03,3.79E+12,9.36E+12,1.54E+13,2.07E+13,2.47E+13,2.66E+13,2.66E+13,2.47E+13,2.06E+13,1.53E+13,9.31E+12,3.76E+12
G04,4.96E+12,1.21E+13,1.89E+13,2.44E+13,2.94E+13,3.18E+13,3.19E+13,2.94E+13,2.43E+13,1.87E+13,1.19E+13,4.88E+12
G05,5.83E+12,1.40E+13,2.08E+13,2.54E+13,3.23E+13,3.52E+13,3.53E+13,3.23E+13,2.53E+13,2.08E+13,1.39E+13,5.79E+12
G06,6.51E+12,1.56E+13,2.29E+13,2.74E+13,3.41E+13,3.69E+13,3.70E+13,3.40E+13,2.72E+13,2.26E+13,1.53E+13,6.42E+12
G07,6.87E+12,1.64E+13,2.47E+13,3.03E+13,3.44E+13,3.68E+13,3.68E+13,3.43E+13,3.02E+13,2.47E+13,1.65E+13,6.90E+12
G08,7.27E+12,1.73E+13,2.60E+13,3.15E+13,3.43E+13,3.63E+13,3.63E+13,3.41E+13,3.11E+13,2.55E+13,1.69E+13,7.08E+12
G09,7.33E+12,1.74E+13,2.60E+13,3.13E+13,3.34E+13,3.54E+13,3.54E+13,3.33E+13,3.12E+13,2.61E+13,1.75E+13,7.36E+12
G10,7.51E+12,1.77E+13,2.61E+13,3.07E+13,3.28E+13,3.49E+13,3.49E+13,3.28E+13,3.05E+13,2.56E+13,1.73E+13,7.34E+12
G11,7.42E+12,1.74E+13,2.54E+13,2.99E+13,3.24E+13,3.47E+13,3.48E+13,3.25E+13,2.99E+13,2.56E+13,1.76E+13,7.48E+12
G12,7.50E+12,1.77E+13,2.56E+13,2.99E+13,3.23E+13,3.46E+13,3.47E+13,3.24E+13,2.98E+13,2.52E+13,1.73E+13,7.37E+12
G13,7.34E+12,1.73E+13,2.56E+13,3.04E+13,3.25E+13,3.47E+13,3.48E+13,3.26E+13,3.05E+13,2.59E+13,1.76E+13,7.43E+12
G14,7.34E+12,1.74E+13,2.60E+13,3.10E+13,3.30E+13,3.50E+13,3.51E+13,3.31E+13,3.09E+13,2.57E+13,1.71E+13,7.23E+12
G15,7.05E+12,1.68E+13,2.53E+13,3.08E+13,3.37E+13,3.58E+13,3.59E+13,3.38E+13,3.10E+13,2.56E+13,1.71E+13,7.15E+12
G16,6.85E+12,1.64E+13,2.45E+13,2.98E+13,3.37E+13,3.62E+13,3.63E+13,3.38E+13,2.98E+13,2.42E+13,1.61E+13,6.75E+12
G17,6.36E+12,1.52E+13,2.24E+13,2.69E+13,3.34E+13,3.63E+13,3.64E+13,3.35E+13,2.69E+13,2.25E+13,1.53E+13,6.38E+12
G18,5.73E+12,1.38E+13,2.05E+13,2.49E+13,3.17E+13,3.46E+13,3.47E+13,3.18E+13,2.50E+13,2.04E+13,1.37E+13,5.71E+12
G19,4.83E+12,1.17E+13,1.84E+13,2.39E+13,2.89E+13,3.13E+13,3.14E+13,2.90E+13,2.40E+13,1.85E+13,1.18E+13,4.85E+12
G20,3.71E+12,9.20E+12,1.51E+13,2.03E+13,2.42E+13,2.61E+13,2.62E+13,2.43E+13,2.03E+13,1.51E+13,9.16E+12,3.71E+12
G21,2.28E+12,5.77E+12,1.02E+13,1.44E+13,1.73E+13,1.86E+13,1.86E+13,1.73E+13,1.44E+13,1.03E+13,5.83E+12,2.31E+12
H02,3.03E+12,7.59E+12,1.30E+13,1.79E+13,2.13E+13,2.29E+13,2.29E+13,2.13E+13,1.78E+13,1.30E+13,7.59E+12,3.02E+12
H03,4.44E+12,1.09E+13,1.77E+13,2.33E+13,2.77E+13,2.98E+13,2.98E+13,2.76E+13,2.32E+13,1.74E+13,1.07E+13,4.36E+12
H04,5.51E+12,1.33E+13,2.05E+13,2.63E+13,3.18E+13,3.44E+13,3.44E+13,3.17E+13,2.61E+13,2.04E+13,1.32E+13,5.46E+12
H05,6.36E+12,1.52E+13,2.20E+13,2.57E+13,3.38E+13,3.71E+13,3.70E+13,3.36E+13,2.55E+13,2.16E+13,1.49E+13,6.24E+12
H06,6.92E+12,1.64E+13,2.35E+13,2.71E+13,3.48E+13,3.79E+13,3.78E+13,3.45E+13,2.68E+13,2.33E+13,1.62E+13,6.83E+12
H07,7.33E+12,1.74E+13,2.57E+13,3.08E+13,3.46E+13,3.69E+13,3.68E+13,3.41E+13,3.03E+13,2.51E+13,1.69E+13,7.12E+12
H08,7.46E+12,1.77E+13,2.64E+13,3.18E+13,3.43E+13,3.61E+13,3.60E+13,3.38E+13,3.15E+13,2.65E+13,1.78E+13,7.47E+12
H09,7.71E+12,1.83E+13,2.71E+13,3.19E+13,3.36E+13,3.54E+13,3.53E+13,3.33E+13,3.15E+13,2.65E+13,1.78E+13,7.51E+12
H10,7.66E+12,1.80E+13,2.66E+13,3.14E+13,3.32E+13,3.52E+13,3.51E+13,3.31E+13,3.13E+13,2.67E+13,1.82E+13,7.71E+12
H11,7.79E+12,1.83E+13,2.66E+13,3.12E+13,3.32E+13,3.53E+13,3.53E+13,3.31E+13,3.10E+13,2.62E+13,1.79E+13,7.62E+12
H12,7.65E+12,1.79E+13,2.62E+13,3.10E+13,3.31E+13,3.52E+13,3.52E+13,3.31E+13,3.10E+13,2.64E+13,1.82E+13,7.73E+12
H13,7.71E+12,1.82E+13,2.67E+13,3.12E+13,3.29E+13,3.49E+13,3.49E+13,3.29E+13,3.10E+13,2.63E+13,1.78E+13,7.57E+12
H14,7.50E+12,1.77E+13,2.64E+13,3.13E+13,3.30E+13,3.49E+13,3.50E+13,3.31E+13,3.14E+13,2.67E+13,1.80E+13,7.60E+12
H15,7.44E+12,1.77E+13,2.62E+13,3.12E+13,3.34E+13,3.55E+13,3.55E+13,3.34E+13,3.11E+13,2.60E+13,1.74E+13,7.33E+12
H16,7.07E+12,1.67E+13,2.48E+13,2.99E+13,3.36E+13,3.62E+13,3.62E+13,3.37E+13,3.00E+13,2.51E+13,1.71E+13,7.19E+12
H17,6.77E+12,1.61E+13,2.31E+13,2.65E+13,3.39E+13,3.71E+13,3.72E+13,3.40E+13,2.65E+13,2.30E+13,1.60E+13,6.77E+12
H18,6.18E+12,1.47E+13,2.14E+13,2.51E+13,3.30E+13,3.63E+13,3.64E+13,3.31E+13,2.51E+13,2.15E+13,1.49E+13,6.22E+12
H19,5.40E+12,1.31E+13,2.01E+13,2.57E+13,3.11E+13,3.38E+13,3.38E+13,3.12E+13,2.57E+13,2.01E+13,1.30E+13,5.39E+12
H20,4.31E+12,1.06E+13,1.72E+13,2.28E+13,2.71E+13,2.92E+13,2.93E+13,2.72E+13,2.28E+13,1.73E+13,1.07E+13,4.34E+12
H21,2.99E+12,7.50E+12,1.28E+13,1.76E+13,2.09E+13,2.25E+13,2.25E+13,2.09E+13,1.75E+13,1.28E+13,7.42E+12,2.96E+12
J01,1.99E+12,5.11E+12,9.53E+12,1.37E+13,1.64E+13,1.77E+13,1.77E+13,1.64E+13,1.37E+13,9.52E+12,5.12E+12,1.99E+12
J02,3.65E+12,9.13E+12,1.54E+13,2.08E+13,2.46E+13,2.64E+13,2.64E+13,2.45E+13,2.07E+13,1.52E+13,8.97E+12,3.58E+12
J03,4.91E+12,1.20E+13,1.94E+13,2.54E+13,3.00E+13,3.23E+13,3.22E+13,2.99E+13,2.53E+13,1.93E+13,1.20E+13,4.87E+12
J04,5.97E+12,1.44E+13,2.21E+13,2.79E+13,3.35E+13,3.62E+13,3.62E+13,3.33E+13,2.77E+13,2.17E+13,1.41E+13,5.85E+12
J05,6.71E+12,1.59E+13,2.30E+13,2.66E+13,3.46E+13,3.80E+13,3.79E+13,3.44E+13,2.63E+13,2.28E+13,1.58E+13,6.60E+12
J06,7.25E+12,1.72E+13,2.44E+13,2.75E+13,3.49E+13,3.79E+13,3.78E+13,3.44E+13,2.70E+13,2.38E+13,1.66E+13,7.03E+12
J07,7.47E+12,1.76E+13,2.60E+13,3.10E+13,3.43E+13,3.65E+13,3.62E+13,3.35E+13,3.05E+13,2.59E+13,1.77E+13,7.46E+12
J08,7.80E+12,1.85E+13,2.73E+13,3.21E+13,3.40E+13,3.56E+13,3.54E+13,3.32E+13,3.14E+13,2.66E+13,1.79E+13,7.57E+12
J09,7.80E+12,1.84E+13,2.72E+13,3.21E+13,3.37E+13,3.54E+13,3.52E+13,3.33E+13,3.18E+13,2.73E+13,1.85E+13,7.82E+12
J10,7.97E+12,1.87E+13,2.73E+13,3.18E+13,3.36E+13,3.55E+13,3.55E+13,3.34E+13,3.14E+13,2.67E+13,1.82E+13,7.77E+12
J11,7.86E+12,1.84E+13,2.65E+13,3.11E+13,3.39E+13,3.60E+13,3.60E+13,3.38E+13,3.10E+13,2.67E+13,1.85E+13,7.91E+12
J12,7.95E+12,1.86E+13,2.68E+13,3.11E+13,3.38E+13,3.59E+13,3.59E+13,3.37E+13,3.09E+13,2.63E+13,1.82E+13,7.80E+12
J13,7.78E+12,1.83E+13,2.67E+13,3.13E+13,3.32E+13,3.52E+13,3.52E+13,3.32E+13,3.13E+13,2.70E+13,1.85E+13,7.87E+12
J14,7.81E+12,1.84E+13,2.71E+13,3.16E+13,3.29E+13,3.48E+13,3.49E+13,3.29E+13,3.14E+13,2.68E+13,1.81E+13,7.67E+12
J15,7.53E+12,1.78E+13,2.64E+13,3.11E+13,3.27E+13,3.48E+13,3.49E+13,3.28E+13,3.12E+13,2.67E+13,1.81E+13,7.64E+12
J16,7.41E+12,1.75E+13,2.57E+13,3.01E+13,3.30E+13,3.56E+13,3.56E+13,3.30E+13,3.00E+13,2.54E+13,1.73E+13,7.31E+12
J17,6.97E+12,1.64E+13,2.35E+13,2.67E+13,3.39E+13,3.71E+13,3.71E+13,3.39E+13,2.68E+13,2.38E+13,1.68E+13,7.08E+12
J18,6.54E+12,1.56E+13,2.25E+13,2.59E+13,3.38E+13,3.71E+13,3.72E+13,3.38E+13,2.59E+13,2.24E+13,1.55E+13,6.55E+12
J19,5.79E+12,1.40E+13,2.14E+13,2.72E+13,3.27E+13,3.55E+13,3.55E+13,3.28E+13,2.73E+13,2.16E+13,1.41E+13,5.83E+12
J20,4.82E+12,1.18E+13,1.90E+13,2.49E+13,2.94E+13,3.16E+13,3.17E+13,2.94E+13,2.48E+13,1.89E+13,1.17E+13,4.79E+12
J21,3.54E+12,8.86E+12,1.50E+13,2.03E+13,2.41E+13,2.59E+13,2.59E+13,2.41E+13,2.04E+13,1.51E+13,8.91E+12,3.56E+12
J22,1.97E+12,5.05E+12,9.39E+12,1.35E+13,1.61E+13,1.73E+13,1.73E+13,1.61E+13,1.34E+13,9.31E+12,4.99E+12,1.94E+12
K01,2.41E+12,6.16E+12,1.12E+13,1.58E+13,1.87E+13,2.01E+13,2.01E+13,1.87E+13,1.57E+13,1.11E+13,6.06E+12,2.37E+12
K02,3.98E+12,9.95E+12,1.67E+13,2.25E+13,2.65E+13,2.83E+13,2.83E+13,2.64E+13,2.24E+13,1.67E+13,9.94E+12,3.97E+12
K03,5.28E+12,1.30E+13,2.08E+13,2.70E+13,3.17E+13,3.39E+13,3.39E+13,3.15E+13,2.68E+13,2.05E+13,1.27E+13,5.18E+12
K04,6.24E+12,1.51E+13,2.32E+13,2.94E+13,3.47E+13,3.74E+13,3.73E+13,3.45E+13,2.92E+13,2.31E+13,1.49E+13,6.17E+12
K05,6.98E+12,1.67E+13,2.42E+13,2.80E+13,3.52E+13,3.83E+13,3.81E+13,3.49E+13,2.76E+13,2.37E+13,1.61E+13,6.78E+12
K06,7.36E+12,1.74E+13,2.51E+13,2.86E+13,3.51E+13,3.79E+13,3.77E+13,3.46E+13,2.82E+13,2.50E+13,1.74E+13,7.32E+12
K07,7.76E+12,1.84E+13,2.70E+13,3.17E+13,3.45E+13,3.64E+13,3.61E+13,3.35E+13,3.09E+13,2.63E+13,1.78E+13,7.53E+12
K08,7.84E+12,1.85E+13,2.75E+13,3.24E+13,3.40E+13,3.55E+13,3.52E+13,3.31E+13,3.18E+13,2.74E+13,1.86E+13,7.85E+12
K09,8.07E+12,1.90E+13,2.79E+13,3.24E+13,3.38E+13,3.55E+13,3.53E+13,3.33E+13,3.18E+13,2.72E+13,1.84E+13,7.84E+12
K10,7.99E+12,1.87E+13,2.70E+13,3.13E+13,3.37E+13,3.58E+13,3.57E+13,3.34E+13,3.12E+13,2.71E+13,1.88E+13,8.02E+12
K11,8.10E+12,1.89E+13,2.62E+13,2.84E+13,3.39E+13,3.65E+13,3.64E+13,3.37E+13,2.81E+13,2.57E+13,1.84E+13,7.93E+12
K12,7.98E+12,1.85E+13,2.58E+13,2.82E+13,3.37E+13,3.64E+13,3.63E+13,3.37E+13,2.82E+13,2.59E+13,1.87E+13,8.03E+12
K13,8.03E+12,1.88E+13,2.71E+13,3.11E+13,3.33E+13,3.54E+13,3.54E+13,3.32E+13,3.09E+13,2.66E+13,1.84E+13,7.87E+12
K14,7.83E+12,1.84E+13,2.71E+13,3.16E+13,3.30E+13,3.49E+13,3.49E+13,3.30E+13,3.17E+13,2.73E+13,1.87E+13,7.92E+12
K15,7.81E+12,1.85E+13,2.72E+13,3.15E+13,3.27E+13,3.47E+13,3.47E+13,3.27E+13,3.14E+13,2.68E+13,1.81E+13,7.67E+12
K16,7.48E+12,1.76E+13,2.60E+13,3.05E+13,3.30E+13,3.54E+13,3.54E+13,3.30E+13,3.06E+13,2.63E+13,1.79E+13,7.58E+12
K17,7.26E+12,1.72E+13,2.47E+13,2.78E+13,3.40E+13,3.70E+13,3.70E+13,3.40E+13,2.77E+13,2.44E+13,1.70E+13,7.18E+12
K18,6.71E+12,1.60E+13,2.33E+13,2.72E+13,3.43E+13,3.74E+13,3.74E+13,3.43E+13,2.73E+13,2.36E+13,1.62E+13,6.81E+12
K19,6.10E+12,1.48E+13,2.27E+13,2.87E+13,3.39E+13,3.66E+13,3.66E+13,3.39E+13,2.87E+13,2.27E+13,1.47E+13,6.09E+12
K20,5.12E+12,1.26E+13,2.02E+13,2.64E+13,3.10E+13,3.32E+13,3.32E+13,3.10E+13,2.64E+13,2.03E+13,1.26E+13,5.15E+12
K21,3.93E+12,9.81E+12,1.65E+13,2.21E+13,2.59E+13,2.78E+13,2.78E+13,2.59E+13,2.20E+13,1.64E+13,9.70E+12,3.88E+12
K22,2.34E+12,5.99E+12,1.09E+13,1.54E+13,1.84E+13,1.97E+13,1.97E+13,1.84E+13,1.54E+13,1.09E+13,6.01E+12,2.35E+12
L01,2.56E+12,6.55E+12,1.18E+13,1.66E+13,1.97E+13,2.11E+13,2.10E+13,1.96E+13,1.65E+13,1.18E+13,6.54E+12,2.56E+12
L02,4.21E+12,1.05E+13,1.76E+13,2.35E+13,2.75E+13,2.94E+13,2.93E+13,2.74E+13,2.33E+13,1.74E+13,1.03E+13,4.13E+12
L03,5.43E+12,1.33E+13,2.15E+13,2.81E+13,3.27E+13,3.49E+13,3.48E+13,3.26E+13,2.79E+13,2.14E+13,1.33E+13,5.40E+12
L04,6.44E+12,1.56E+13,2.44E+13,3.10E+13,3.58E+13,3.82E+13,3.81E+13,3.56E+13,3.07E+13,2.40E+13,1.53E+13,6.33E+12
