Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
H05,4.87514E+12,1.1648E+13,1.68607E+13,1.96833E+13,2.58944E+13,2.83937E+13,2.83747E+13,2.57746E+13,1.9505E+13,1.65839E+13,1.14026E+13,4.78357E+12
H06,5.30049E+12,1.25396E+13,1.80037E+13,2.07701E+13,2.66364E+13,2.90198E+13,2.89671E+13,2.6426E+13,2.0554E+13,1.7874E+13,1.24438E+13,5.232E+12
H07,5.61717E+12,1.33331E+13,1.96784E+13,2.35806E+13,2.64901E+13,2.82866E+13,2.81951E+13,2.61298E+13,2.31806E+13,1.92216E+13,1.29383E+13,5.455E+12
H08,5.71885E+12,1.35447E+13,2.02662E+13,2.43455E+13,2.62483E+13,2.76748E+13,2.75831E+13,2.591E+13,2.41216E+13,2.0274E+13,1.36085E+13,5.72677E+12
H09,5.91044E+12,1.39984E+13,2.07552E+13,2.44612E+13,2.57409E+13,2.71334E+13,2.70803E+13,2.55311E+13,2.41383E+13,2.03157E+13,1.36135E+13,5.7573E+12
H10,5.86856E+12,1.38097E+13,2.03793E+13,2.40515E+13,2.54612E+13,2.69436E+13,2.69294E+13,2.53696E+13,2.39913E+13,2.04789E+13,1.39374E+13,5.90448E+12
H11,5.96495E+12,1.40244E+13,2.03973E+13,2.39163E+13,2.54465E+13,2.70168E+13,2.70306E+13,2.53949E+13,2.37317E+13,2.0046E+13,1.36979E+13,5.83979E+12
H12,5.86358E+12,1.37461E+13,2.00909E+13,2.37484E+13,2.53534E+13,2.69445E+13,2.69741E+13,2.53608E+13,2.37836E+13,2.0263E+13,1.39218E+13,5.91938E+12
H13,5.90798E+12,1.39345E+13,2.04407E+13,2.39051E+13,2.52185E+13,2.67247E+13,2.67679E+13,2.52328E+13,2.37903E+13,2.01522E+13,1.3654E+13,5.80188E+12
H14,5.74368E+12,1.35672E+13,2.02077E+13,2.39636E+13,2.528E+13,2.67621E+13,2.68135E+13,2.53291E+13,2.40564E+13,2.04385E+13,1.37919E+13,5.82368E+12
H15,5.69806E+12,1.35249E+13,2.01086E+13,2.38762E+13,2.55756E+13,2.71681E+13,2.72206E+13,2.56138E+13,2.38071E+13,1.98837E+13,1.33019E+13,5.61745E+12
H16,5.41675E+12,1.28315E+13,1.90236E+13,2.28929E+13,2.57319E+13,2.77068E+13,2.77607E+13,2.57947E+13,2.30073E+13,1.92684E+13,1.3069E+13,5.50701E+12
H17,5.18619E+12,1.23222E+13,1.76647E+13,2.02671E+13,2.59842E+13,2.84317E+13,2.84859E+13,2.60406E+13,2.02906E+13,1.76136E+13,1.22744E+13,5.1891E+12
H18,4.73573E+12,1.12781E+13,1.63704E+13,1.92086E+13,2.53202E+13,2.7835E+13,2.78868E+13,2.53768E+13,1.92606E+13,1.64956E+13,1.13952E+13,4.7693E+12
H19,4.13904E+12,1.00261E+13,1.54361E+13,1.96961E+13,2.38228E+13,2.58802E+13,2.5927E+13,2.3869E+13,1.9703E+13,1.53857E+13,9.97511E+12,4.1277E+12
H20,3.30602E+12,8.1273E+12,1.3175E+13,1.74564E+13,2.07727E+13,2.24028E+13,2.24425E+13,2.08144E+13,1.74928E+13,1.32408E+13,8.1884E+12,3.3259E+12
H21,2.2878E+12,5.74489E+12,9.83412E+12,1.34475E+13,1.60005E+13,1.72169E+13,1.72468E+13,1.60245E+13,1.34319E+13,9.77434E+12,5.68606E+12,2.26532E+12
J01,1.52173E+12,3.91562E+12,7.30518E+12,1.04982E+13,1.25807E+13,1.35362E+13,1.35323E+13,1.25619E+13,1.04782E+13,7.29566E+12,3.92057E+12,1.52637E+12
J02,2.7933E+12,6.99337E+12,1.18171E+13,1.59411E+13,1.8836E+13,2.02135E+13,2.02054E+13,1.879E+13,1.58463E+13,1.16751E+13,6.87133E+12,2.7455E+12
J03,3.76079E+12,9.21937E+12,1.48288E+13,1.94606E+13,2.29956E+13,2.47246E+13,2.47065E+13,2.29252E+13,1.93677E+13,1.47706E+13,9.18227E+12,3.73495E+12
J04,4.57647E+12,1.10582E+13,1.69244E+13,2.13897E+13,2.56529E+13,2.77718E+13,2.77361E+13,2.55322E+13,2.11988E+13,1.6659E+13,1.08265E+13,4.48421E+12
J05,5.13796E+12,1.21977E+13,1.75861E+13,2.03541E+13,2.65483E+13,2.9086E+13,2.90187E+13,2.63562E+13,2.01505E+13,1.74371E+13,1.20789E+13,5.05981E+12
J06,5.55329E+12,1.31423E+13,1.86823E+13,2.10961E+13,2.67351E+13,2.90673E+13,2.89468E+13,2.63866E+13,2.07185E+13,1.82078E+13,1.2729E+13,5.38831E+12
J07,5.72653E+12,1.35187E+13,1.99279E+13,2.37201E+13,2.62748E+13,2.79412E+13,2.77525E+13,2.56729E+13,2.33546E+13,1.98729E+13,1.3541E+13,5.71475E+12
J08,5.9735E+12,1.414E+13,2.09238E+13,2.46259E+13,2.60214E+13,2.72908E+13,2.71019E+13,2.54046E+13,2.40871E+13,2.04037E+13,1.371E+13,5.8E+12
J09,5.9759E+12,1.40776E+13,2.08696E+13,2.46E+13,2.57951E+13,2.71265E+13,2.7006E+13,2.54785E+13,2.43856E+13,2.09018E+13,1.41721E+13,5.9955E+12
J10,6.10625E+12,1.43625E+13,2.09285E+13,2.43388E+13,2.57354E+13,2.72247E+13,2.71632E+13,2.55549E+13,2.40409E+13,2.04953E+13,1.39801E+13,5.95539E+12
J11,6.0257E+12,1.40774E+13,2.03355E+13,2.3827E+13,2.59704E+13,2.76191E+13,2.75956E+13,2.58908E+13,2.37875E+13,2.04502E+13,1.4213E+13,6.06258E+12
J12,6.09178E+12,1.42723E+13,2.05089E+13,2.38226E+13,2.58817E+13,2.7536E+13,2.75325E+13,2.58331E+13,2.36588E+13,2.01751E+13,1.3958E+13,5.97272E+12
J13,5.96273E+12,1.3984E+13,2.0464E+13,2.39632E+13,2.5424E+13,2.69711E+13,2.69834E+13,2.54253E+13,2.40152E+13,2.06595E+13,1.41811E+13,6.02883E+12
J14,5.98294E+12,1.41253E+13,2.07897E+13,2.42101E+13,2.52392E+13,2.66893E+13,2.67103E+13,2.52371E+13,2.40934E+13,2.04976E+13,1.38415E+13,5.87685E+12
J15,5.77304E+12,1.36245E+13,2.023E+13,2.38358E+13,2.50802E+13,2.66833E+13,2.67055E+13,2.51063E+13,2.39271E+13,2.04704E+13,1.38598E+13,5.85727E+12
J16,5.67481E+12,1.34274E+13,1.96617E+13,2.3058E+13,2.52816E+13,2.72569E+13,2.72802E+13,2.52958E+13,2.29876E+13,1.9447E+13,1.32171E+13,5.60081E+12
J17,5.34197E+12,1.26028E+13,1.79884E+13,2.04232E+13,2.59467E+13,2.8401E+13,2.84254E+13,2.59832E+13,2.05147E+13,1.82294E+13,1.28394E+13,5.42666E+12
J18,5.00938E+12,1.19459E+13,1.72089E+13,1.98416E+13,2.5897E+13,2.84638E+13,2.84876E+13,2.59257E+13,1.98586E+13,1.71672E+13,1.19109E+13,5.0176E+12
J19,4.43559E+12,1.0699E+13,1.64287E+13,2.0862E+13,2.50782E+13,2.7205E+13,2.72266E+13,2.51052E+13,2.09055E+13,1.65316E+13,1.07979E+13,4.46838E+12
J20,3.69227E+12,9.06968E+12,1.45602E+13,1.90536E+13,2.25133E+13,2.42343E+13,2.42522E+13,2.25276E+13,1.9037E+13,1.44894E+13,9.0014E+12,3.67116E+12
J21,2.71332E+12,6.78578E+12,1.15072E+13,1.55865E+13,1.84503E+13,1.982E+13,1.98334E+13,1.8463E+13,1.56021E+13,1.15485E+13,6.8272E+12,2.72625E+12
J22,1.50856E+12,3.87316E+12,7.19392E+12,1.03064E+13,1.23348E+13,1.32754E+13,1.32825E+13,1.23335E+13,1.02758E+13,7.13503E+12,3.81981E+12,1.48446E+12
K01,1.84387E+12,4.72248E+12,8.58844E+12,1.20751E+13,1.43565E+13,1.54104E+13,1.5397E+13,1.43182E+13,1.20046E+13,8.49399E+12,4.6462E+12,1.81258E+12
K02,3.05225E+12,7.62076E+12,1.28318E+13,1.72378E+13,2.02813E+13,2.17178E+13,2.16943E+13,2.02243E+13,1.71725E+13,1.28044E+13,7.61379E+12,3.04331E+12
K03,4.04355E+12,9.92979E+12,1.59192E+13,2.07172E+13,2.42641E+13,2.59924E+13,2.59538E+13,2.41637E+13,2.05525E+13,1.56921E+13,9.73578E+12,3.96728E+12
K04,4.78193E+12,1.1542E+13,1.77946E+13,2.25181E+13,2.66189E+13,2.86573E+13,2.85956E+13,2.64711E+13,2.23423E+13,1.76692E+13,1.14524E+13,4.72761E+12
