Canal,Trozo_8
A09,1.46993E+13
A10,1.68821E+13
A11,1.73522E+13
A12,1.73366E+13
A13,1.68378E+13
A14,1.46306E+13
B06,1.39122E+13
B07,1.77275E+13
B08,2.01743E+13
B09,2.26437E+13
B10,2.37898E+13
B11,2.4083E+13
B12,2.40612E+13
B13,2.37206E+13
B14,2.25352E+13
B15,2.00358E+13
B16,1.75775E+13
B17,1.37713E+13
C05,1.57614E+13
C06,2.1401E+13
C07,2.47824E+13
C08,2.70915E+13
C09,2.85535E+13
C10,2.91893E+13
C11,2.91725E+13
C12,2.91409E+13
C13,2.91038E+13
C14,2.84063E+13
C15,2.69028E+13
C16,2.45609E+13
C17,2.11767E+13
C18,1.55694E+13
D04,1.65395E+13
D05,2.27483E+13
D06,2.679E+13
D07,2.96114E+13
D08,3.14461E+13
D09,3.23498E+13
D10,3.25279E+13
D11,3.21562E+13
D12,3.21226E+13
D13,3.24175E+13
D14,3.21784E+13
D15,3.1206E+13
D16,2.93367E+13
D17,2.64916E+13
D18,2.24647E+13
D19,1.631E+13
E03,1.62073E+13
E04,2.27982E+13
E05,2.73988E+13
E06,3.07073E+13
E07,3.27435E+13
E08,3.38379E+13
E09,3.3954E+13
E10,3.36485E+13
E11,3.30518E+13
E12,3.3008E+13
E13,3.35324E+13
E14,3.37488E+13
E15,3.35677E+13
E16,3.24086E+13
E17,3.03504E+13
E18,2.70389E+13
E19,2.24784E+13
E20,1.59657E+13
F03,2.06191E+13
F04,2.68211E+13
F05,3.06838E+13
F06,3.32177E+13
F07,3.4265E+13
F08,3.45757E+13
F09,3.38021E+13
F10,3.31785E+13
F11,3.25299E+13
F12,3.24948E+13
F13,3.3034E+13
F14,3.35937E+13
F15,3.42633E+13
F16,3.3892E+13
F17,3.27954E+13
F18,3.02642E+13
F19,2.64276E+13
F20,2.03113E+13
G02,1.78803E+13
G03,2.50598E+13
G04,2.98722E+13
G05,3.28035E+13
G06,3.44979E+13
G07,3.48188E+13
G08,3.46849E+13
G09,3.38505E+13
G10,3.32933E+13
G11,3.2969E+13
G12,3.2906E+13
G13,3.31562E+13
G14,3.35875E+13
G15,3.43502E+13
G16,3.4384E+13
G17,3.40299E+13
G18,3.23207E+13
G19,2.94165E+13
G20,2.46617E+13
G21,1.7596E+13
H02,2.1618E+13
H03,2.80588E+13
H04,3.2168E+13
H05,3.41724E+13
H06,3.50361E+13
H07,3.46434E+13
H08,3.43519E+13
H09,3.38496E+13
H10,3.36354E+13
H11,3.3669E+13
H12,3.36238E+13
H13,3.34541E+13
H14,3.35818E+13
H15,3.39592E+13
H16,3.41991E+13
H17,3.45251E+13
H18,3.3645E+13
H19,3.16459E+13
H20,2.75962E+13
H21,2.12455E+13
J01,1.66547E+13
J02,2.49121E+13
J03,3.03946E+13
J04,3.3851E+13
J05,3.49435E+13
J06,3.49838E+13
J07,3.40375E+13
J08,3.36818E+13
J09,3.37799E+13
J10,3.38812E+13
J11,3.43265E+13
J12,3.42499E+13
J13,3.37093E+13
J14,3.34598E+13
J15,3.32864E+13
J16,3.35376E+13
J17,3.4449E+13
J18,3.43727E+13
J19,3.32849E+13
J20,2.98675E+13
J21,2.44785E+13
J22,1.6352E+13
K01,1.89833E+13
K02,2.68137E+13
K03,3.20366E+13
K04,3.50959E+13
K05,3.54204E+13
K06,3.51203E+13
K07,3.40227E+13
K08,3.36226E+13
K09,3.38029E+13
K10,3.39605E+13
K11,3.42502E+13
K12,3.41924E+13
K13,3.37475E+13
K14,3.34882E+13
K15,3.31738E+13
K16,3.35159E+13
K17,3.45322E+13
K18,3.48254E+13
K19,3.44824E+13
K20,3.1475E+13
K21,2.63293E+13
K22,1.86445E+13
L01,1.99059E+13
L02,2.78256E+13
L03,3.30767E+13
L04,3.61342E+13
L05,3.65156E+13
L06,3.60135E+13
L07,3.45337E+13
L08,3.38918E+13
L09,3.40207E+13
L10,3.40844E+13
L11,3.43174E+13
L12,3.42346E+13
L13,3.38906E+13
L14,3.36648E+13
L15,3.34509E+13
L16,3.3975E+13
L17,3.54115E+13
L18,3.58616E+13
L19,3.54923E+13
L20,3.2479E+13
L21,2.73297E+13
L22,1.95421E+13
M01,1.99919E+13
M02,2.80049E+13
M03,3.33892E+13
M04,3.66636E+13
M05,3.72724E+13
M06,3.68288E+13
M07,3.51352E+13
M08,3.43571E+13
M09,3.43519E+13
M10,3.43739E+13
M11,3.45471E+13
M12,3.44861E+13
M13,3.41511E+13
M14,3.402E+13
M15,3.38822E+13
M16,3.4591E+13
M17,3.61874E+13
M18,3.66253E+13
M19,3.60051E+13
M20,3.27939E+13
M21,2.74961E+13
M22,1.96375E+13
N01,1.92209E+13
N02,2.726E+13
N03,3.28739E+13
N04,3.65302E+13
N05,3.77345E+13
N06,3.75394E+13
N07,3.58134E+13
N08,3.49304E+13
N09,3.48183E+13
