Canal,Trozo_8
N10,3.47454E+13
N11,3.49455E+13
N12,3.48642E+13
N13,3.45557E+13
N14,3.44661E+13
N15,3.44895E+13
N16,3.5247E+13
N17,3.69194E+13
N18,3.70625E+13
N19,3.58848E+13
N20,3.22851E+13
N21,2.67813E+13
N22,1.88776E+13
O01,1.6919E+13
O02,2.54527E+13
O03,3.13766E+13
O04,3.55469E+13
O05,3.7656E+13
O06,3.79756E+13
O07,3.6564E+13
O08,3.57815E+13
O09,3.53147E+13
O10,3.51431E+13
O11,3.53258E+13
O12,3.52732E+13
O13,3.49376E+13
O14,3.50075E+13
O15,3.5332E+13
O16,3.60429E+13
O17,3.73522E+13
O18,3.70229E+13
O19,3.49314E+13
O20,3.0837E+13
O21,2.50074E+13
O22,1.66322E+13
P02,2.20005E+13
P03,2.87775E+13
P04,3.33558E+13
P05,3.60024E+13
P06,3.72292E+13
P07,3.69844E+13
P08,3.65578E+13
P09,3.5705E+13
P10,3.52873E+13
P11,3.5186E+13
P12,3.51129E+13
P13,3.51255E+13
P14,3.53965E+13
P15,3.61644E+13
P16,3.64786E+13
P17,3.66771E+13
P18,3.54296E+13
P19,3.28127E+13
P20,2.82942E+13
P21,2.16343E+13
Q02,1.79964E+13
Q03,2.5247E+13
Q04,3.01832E+13
Q05,3.32951E+13
Q06,3.53725E+13
Q07,3.62081E+13
Q08,3.64662E+13
Q09,3.57892E+13
Q10,3.54192E+13
Q11,3.52046E+13
Q12,3.51633E+13
Q13,3.52493E+13
Q14,3.5537E+13
Q15,3.6093E+13
Q16,3.57907E+13
Q17,3.48978E+13
Q18,3.28119E+13
Q19,2.97164E+13
Q20,2.48454E+13
Q21,1.76952E+13
R03,2.02819E+13
R04,2.62755E+13
R05,2.99856E+13
R06,3.29337E+13
R07,3.49941E+13
R08,3.60824E+13
R09,3.59764E+13
R10,3.57788E+13
R11,3.55429E+13
R12,3.54834E+13
R13,3.56504E+13
R14,3.57277E+13
R15,3.57685E+13
R16,3.46207E+13
R17,3.25397E+13
R18,2.95872E+13
R19,2.59038E+13
R20,1.99745E+13
S03,1.54986E+13
S04,2.16822E+13
S05,2.60255E+13
S06,2.97267E+13
S07,3.27858E+13
S08,3.47461E+13
S09,3.56225E+13
S10,3.57865E+13
S11,3.54162E+13
S12,3.53772E+13
S13,3.56598E+13
S14,3.54251E+13
S15,3.44744E+13
S16,3.24837E+13
S17,2.94066E+13
S18,2.5717E+13
S19,2.14027E+13
S20,1.52886E+13
T04,1.51897E+13
T05,2.11403E+13
T06,2.54268E+13
T07,2.88417E+13
T08,3.12514E+13
T09,3.26578E+13
T10,3.3136E+13
T11,3.28932E+13
T12,3.28581E+13
T13,3.30429E+13
T14,3.24948E+13
T15,3.10457E+13
T16,2.86017E+13
T17,2.5188E+13
T18,2.09171E+13
T19,1.50189E+13
U05,1.4014E+13
U06,1.95557E+13
U07,2.32071E+13
U08,2.58267E+13
U09,2.75319E+13
U10,2.83186E+13
U11,2.83164E+13
U12,2.82944E+13
U13,2.82462E+13
U14,2.74208E+13
U15,2.56748E+13
U16,2.30421E+13
U17,1.9392E+13
U18,1.38872E+13
V06,1.17884E+13
V07,1.56092E+13
V08,1.81121E+13
V09,2.04739E+13
V10,2.1619E+13
V11,2.19161E+13
V12,2.19017E+13
V13,2.15803E+13
V14,2.04046E+13
V15,1.80246E+13
V16,1.55094E+13
V17,1.17021E+13
W09,1.17867E+13
W10,1.37134E+13
W11,1.40976E+13
W12,1.40977E+13
W13,1.37022E+13
W14,1.17649E+13
