********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 O07\E1 24 O07 GA\E1 24 O07 DWS M01.fccp
Collected: 2024/08/17 01:04:37
"Report Created: 2024/10/22 14:29:58"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2226.6001,3.5606,5.5490,4.2461
2227.5500,3.5208,5.3819,4.2322
2228.4500,3.5823,5.2979,4.1267
2229.3501,3.6313,4.9983,4.0594
2230.2500,3.3695,4.1659,3.8188
2231.2000,3.3537,3.4117,3.3805
2232.1499,3.3767,3.4215,3.3957
2233.0500,3.3802,3.4267,3.3995
2233.9500,3.3785,3.4238,3.3964
2234.8501,3.3707,3.4174,3.3902
2235.7500,3.3620,3.4045,3.3785
2236.7000,3.3381,3.3842,3.3591
2237.6001,3.2821,3.8536,3.3501
2238.5000,2.9550,5.0615,3.8545
2239.4500,2.9675,5.3366,3.9497
2240.3501,2.9040,5.5972,3.9013
2241.2500,2.9790,5.0601,3.8162
2242.2000,3.0994,5.2211,3.8560
2243.1499,3.0994,5.1943,3.8588
2244.1001,3.0180,5.3753,3.7370
2245.0500,2.9654,4.9570,3.6065
2245.9500,3.0364,5.0985,3.5355
2246.8999,3.0235,6.2513,3.4944
2247.8501,-0.0072,4.8248,2.1441
2248.7500,-0.0072,4.4920,0.5900
2249.6499,-0.0072,-0.0032,-0.0055
2250.5500,-0.0072,5.5750,2.1085
2251.4500,-0.0061,7.0020,4.3645
2252.3999,-0.0063,7.4064,5.6681
2253.3501,-0.0052,7.1356,4.7088
2254.2500,3.4446,5.5646,4.2744
2255.1499,3.4775,5.5028,4.2611
2256.0500,3.4908,5.6930,4.2936
2256.9500,3.5061,5.8252,4.3718
2257.8999,3.5017,5.7499,4.2226
2258.8501,3.3106,5.1937,3.9343
2259.7500,3.3785,4.8984,3.8007
2260.6499,2.6878,4.4225,3.5933
2261.5500,-0.0069,3.9125,3.3049
2262.5000,3.5450,3.9508,3.6214
2263.4500,3.5488,3.6726,3.6049
2264.3501,3.5626,3.6743,3.6145
2265.2500,3.5701,3.6908,3.6262
2266.1499,3.5828,3.7006,3.6395
2267.1001,3.5999,3.7162,3.6527
2268.0500,3.6088,3.7234,3.6642
2268.9500,3.6232,3.7323,3.6738
2269.8501,3.6325,3.7393,3.6836
2270.8000,3.6426,3.7468,3.6922
2271.7500,3.6495,3.7551,3.6988
2272.6499,3.6541,3.7598,3.7035
2273.5500,3.6527,3.7514,3.7013
2274.5000,2.8627,3.7586,3.6201
2275.4500,2.8477,4.7019,4.4900
2276.3501,4.4404,4.7027,4.5566
2277.2500,4.4479,4.7056,4.5605
2278.1499,4.4187,5.2878,4.7675
2279.1001,3.0240,5.4832,4.2588
2280.0500,2.6370,5.2275,3.8007
2280.9500,3.7384,3.8504,3.7872
2281.8999,3.7188,3.8313,3.7677
2282.8501,3.7026,3.9771,3.7811
2283.7500,3.7038,4.0412,3.8720
2284.6499,3.7139,4.0374,3.9411
2285.6001,3.8778,4.0383,3.9604
2286.5500,3.7315,4.0625,3.9751
2287.4500,3.7404,4.0698,3.9508
2288.3999,3.7315,4.0054,3.8704
2289.3501,3.7690,4.3298,3.9057
2290.3000,3.7621,5.4656,4.7630
2291.3000,4.5633,4.7760,4.6599
2292.2500,4.5916,4.7989,4.6847
2293.2000,4.6072,4.8170,4.7027
2294.1499,4.6164,5.4157,4.7867
2295.1001,3.8261,5.6544,4.9540
2296.0500,3.7826,4.7700,3.9214
2297.0000,3.7641,4.0718,3.8424
2297.9500,3.7566,4.0957,3.8551
2298.8501,3.7439,4.0871,3.8917
2299.7500,3.7514,4.0914,3.9975
2300.7000,3.6824,4.0969,3.9019
2301.6499,3.7419,4.0934,3.8222
2302.5500,3.7465,3.8839,3.8106
2303.4500,3.7572,3.8960,3.8198
2304.3999,3.7704,3.9208,3.8366
2305.3501,3.7970,3.9514,3.8656
2306.2500,3.8484,4.6069,4.4615
2307.1499,4.1991,4.6153,4.5041
2308.1001,4.4508,4.6231,4.5199
2309.0500,4.4473,4.6265,4.5209
2309.9500,4.4525,4.6271,4.5230
2310.8501,3.1060,4.5241,3.7937
2311.8000,3.7537,3.8946,3.8164
2312.7500,3.7488,3.8948,3.8141
2313.6499,3.7476,3.8943,3.8139
2314.6001,3.7450,3.8931,3.8119
2315.5500,3.7419,3.8914,3.8082
2316.4500,3.7393,3.8827,3.8031
2317.3501,3.7335,3.8726,3.7988
2318.3000,3.7295,3.8660,3.7921
2319.2500,3.7199,3.8645,3.7866
2320.1499,3.7159,3.8625,3.7840
2321.1001,3.7055,3.8591,3.7804
2322.0500,3.7069,3.8631,3.7770
2322.9500,3.7029,3.8599,3.7743
2323.8501,3.6963,3.8582,3.7709
2324.8000,3.6966,3.8588,3.7690
2325.7500,3.6948,3.8654,3.7724
2326.6499,3.7023,3.8876,3.7840
2327.6001,3.7194,3.9061,3.7966
2328.5500,3.7344,3.8946,3.7987
2329.4500,3.7450,3.8992,3.8060
2330.3999,3.7534,3.9159,3.8210
2331.3501,3.7690,3.9373,3.8437
2332.2500,3.7956,3.9687,3.8745
